title,duration
The Godfather,2h 55m
Schindler's List,3h 15m
12 Angry Men,1h 36m
Life Is Beautiful,1h 56m
"The Good, the Bad and the Ugly",2h 58m
The Shawshank Redemption,2h 22m
The Pursuit of Happyness,1h 57m
Seven Samurai,3h 27m
The Intouchables,1h 52m
Central Station,1h 50m
Requiem for a Dream,1h 42m
A Beautiful Mind,2h 15m
Hachi: A Dog's Tale,1h 33m
Taken,1h 30m
My Sassy Girl,2h 17m
Amores Perros,2h 34m
The Shining,2h 26m
Apocalypto,2h 19m
Gladiator,2h 35m
Cast Away,2h 23m
The Dark Knight,2h 32m
The Pianist,2h 30m
Titanic,3h 14m
3-Iron,1h 28m
Braveheart,2h 58m
